,symbol,dayofweek,group,normalized,transformed
0,AMD,0,dow only,283,319
5,AMZN,0,dow only,186,237
10,BAC,0,dow only,166,225
15,GM,0,dow only,200,244
20,GOOG,0,dow only,236,292
25,INTC,0,dow only,187,242
30,MSFT,0,dow only,116,166
35,PFE,0,dow only,135,181
40,PYPL,0,dow only,201,255
45,VZ,0,dow only,128,169
50,XOM,0,dow only,171,242
1,AMD,1,dow only,271,310
6,AMZN,1,dow only,181,235
11,BAC,1,dow only,165,214
16,GM,1,dow only,165,216
21,GOOG,1,dow only,247,293
26,INTC,1,dow only,177,231
31,MSFT,1,dow only,125,178
36,PFE,1,dow only,154,187
41,PYPL,1,dow only,202,253
46,VZ,1,dow only,119,156
51,XOM,1,dow only,167,213
2,AMD,2,dow only,254,289
7,AMZN,2,dow only,201,248
12,BAC,2,dow only,191,240
17,GM,2,dow only,134,177
22,GOOG,2,dow only,232,277
27,INTC,2,dow only,163,206
32,MSFT,2,dow only,150,187
37,PFE,2,dow only,182,220
42,PYPL,2,dow only,191,238
47,VZ,2,dow only,153,191
52,XOM,2,dow only,189,244
3,AMD,3,dow only,283,312
8,AMZN,3,dow only,183,221
13,BAC,3,dow only,131,190
18,GM,3,dow only,136,186
23,GOOG,3,dow only,213,270
28,INTC,3,dow only,185,218
33,MSFT,3,dow only,109,153
38,PFE,3,dow only,151,199
43,PYPL,3,dow only,170,222
48,VZ,3,dow only,113,152
53,XOM,3,dow only,136,185
4,AMD,4,dow only,273,305
9,AMZN,4,dow only,182,218
14,BAC,4,dow only,158,202
19,GM,4,dow only,166,217
24,GOOG,4,dow only,215,261
29,INTC,4,dow only,163,206
34,MSFT,4,dow only,130,176
39,PFE,4,dow only,139,186
44,PYPL,4,dow only,179,209
49,VZ,4,dow only,99,134
54,XOM,4,dow only,163,212
