,symbol,dayofweek,group,normal_minutes,normalized,transformed
0,AMD,0,no_phenom,0,329,370
5,AMZN,0,no_phenom,0,275,328
10,BAC,0,no_phenom,0,279,337
15,GM,0,no_phenom,0,293,332
20,GOOG,0,no_phenom,0,321,360
25,INTC,0,no_phenom,0,266,332
30,MSFT,0,no_phenom,0,230,303
35,PFE,0,no_phenom,0,232,294
40,PYPL,0,no_phenom,0,292,344
45,VZ,0,no_phenom,0,219,290
50,XOM,0,no_phenom,0,278,345
1,AMD,1,no_phenom,0,337,377
6,AMZN,1,no_phenom,0,296,342
11,BAC,1,no_phenom,0,248,339
16,GM,1,no_phenom,0,275,337
21,GOOG,1,no_phenom,0,328,366
26,INTC,1,no_phenom,0,270,355
31,MSFT,1,no_phenom,0,224,309
36,PFE,1,no_phenom,0,277,322
41,PYPL,1,no_phenom,0,297,358
46,VZ,1,no_phenom,0,202,308
51,XOM,1,no_phenom,0,245,314
2,AMD,2,no_phenom,0,368,382
7,AMZN,2,no_phenom,0,345,366
12,BAC,2,no_phenom,0,320,366
17,GM,2,no_phenom,0,290,348
22,GOOG,2,no_phenom,0,356,380
27,INTC,2,no_phenom,0,325,362
32,MSFT,2,no_phenom,0,308,352
37,PFE,2,no_phenom,0,319,353
42,PYPL,2,no_phenom,0,323,363
47,VZ,2,no_phenom,0,316,356
52,XOM,2,no_phenom,0,309,372
3,AMD,3,no_phenom,0,348,369
8,AMZN,3,no_phenom,0,260,313
13,BAC,3,no_phenom,0,257,316
18,GM,3,no_phenom,0,252,304
23,GOOG,3,no_phenom,0,292,338
28,INTC,3,no_phenom,0,273,319
33,MSFT,3,no_phenom,0,218,283
38,PFE,3,no_phenom,0,274,336
43,PYPL,3,no_phenom,0,266,315
48,VZ,3,no_phenom,0,202,271
53,XOM,3,no_phenom,0,254,312
4,AMD,4,no_phenom,0,329,357
9,AMZN,4,no_phenom,0,271,320
14,BAC,4,no_phenom,0,234,293
19,GM,4,no_phenom,0,256,304
24,GOOG,4,no_phenom,0,283,322
29,INTC,4,no_phenom,0,264,309
34,MSFT,4,no_phenom,0,190,250
39,PFE,4,no_phenom,0,249,301
44,PYPL,4,no_phenom,0,245,293
49,VZ,4,no_phenom,0,209,262
54,XOM,4,no_phenom,0,238,302
