symbol,timestamp,open,high,low,close,volume,volume_weighted,number_of_trades
AMD,2018-10-15,26.38,26.77,25.75,26.26,70523486,26.2567,211509
AMD,2018-10-16,26.63,28.23,26.17,28.18,92528973,27.28,220158
AMD,2018-10-17,28.41,28.53,26.9199,27.3,89466946,27.427,232936
AMD,2018-10-18,27.08,27.75,26.4,26.62,79623723,26.9147,226502
AMD,2018-10-19,27.03,27.1,23.6,23.66,130799866,25.0795,397362
AMD,2018-10-22,24.46,25.64,24.0901,25.03,114158919,24.8999,297666
AMD,2018-10-23,24.18,25.26,23.85,25.09,101763018,24.7352,294885
AMD,2018-10-24,25.04,25.1,22.75,22.79,134489106,22.6796,388121
AMD,2018-10-25,17.92,20.15,17.72,19.27,189173672,19.2676,578226
AMD,2018-10-26,18.49,18.78,17.05,17.63,119688961,17.8275,333525
AMD,2018-10-29,18.21,18.23,16.27,16.85,94316090,17.3289,264301
AMD,2018-10-30,16.38,17.24,16.17,17.2,99049408,16.7953,281166
AMD,2018-10-31,17.87,18.34,17.12,18.21,110463663,17.8491,307432
AMD,2018-11-01,18.41,20.33,18.08,20.22,136896463,19.4344,353161
AMD,2018-11-02,20.59,21.06,19.47,20.23,123787953,20.1559,343190
AMD,2018-11-05,20.12,20.18,18.88,19.9,108016703,19.4598,271470
AMD,2018-11-06,19.5,21.65,19.48,20.68,144995728,20.7262,384522
AMD,2018-11-07,21.42,22.2235,21.07,21.84,121115776,21.7141,310591
AMD,2018-11-08,21.77,22.08,20.97,21.2,92387565,21.4139,218453
AMD,2018-11-09,20.77,21.19,20.11,21.03,85900699,20.6801,220154
AMD,2018-11-12,20.68,20.85,18.8,19.03,95948176,19.4037,267033
AMD,2018-11-13,19.28,20.02,18.97,19.61,76125994,19.5615,185958
AMD,2018-11-14,20.18,21.11,19.7599,20.81,106344252,20.4196,282074
AMD,2018-11-15,20.72,21.77,20.42,21.49,97715488,21.0576,278414
AMD,2018-11-16,19.87,20.97,19.72,20.66,112376589,20.3964,297426
AMD,2018-11-19,20.4,20.59,19.09,19.11,93578236,19.5845,248176
AMD,2018-11-20,17.4,19.58,17.18,19.21,109869425,18.7456,314709
AMD,2018-11-21,20.05,20.31,18.5,18.73,81585649,19.1694,198266
AMD,2018-11-23,18.61,19.83,18.56,19.38,54611295,19.4809,153437
AMD,2018-11-26,19.96,20.19,19.1101,20.08,83210988,19.6082,221012
AMD,2018-11-27,19.77,21.45,19.73,21.05,119230147,20.8446,312080
AMD,2018-11-28,21.82,21.88,20.18,21.34,134425292,20.891,350064
AMD,2018-11-29,21.19,21.61,20.73,21.43,79853746,21.2481,229700
AMD,2018-11-30,21.3,21.36,20.52,21.3,82370737,20.9849,198644
AMD,2018-12-03,22.48,23.75,22.37,23.71,139605406,23.2307,358132
AMD,2018-12-04,23.35,23.42,21.07,21.12,127392924,22.1491,342593
AMD,2018-12-06,20.22,21.41,20.06,21.3,103434674,20.9144,265073
AMD,2018-12-07,21.3,21.3799,19.17,19.46,105764534,20.05,312489
AMD,2018-12-10,19.35,20.13,19.27,19.99,77984520,19.7958,204053
AMD,2018-12-11,20.71,21.14,19.69,19.98,88027392,20.2696,231801
AMD,2018-12-12,20.32,21.02,19.71,20.48,100340657,20.5325,227477
AMD,2018-12-13,20.63,20.865,19.76,19.86,88108070,20.1573,204474
AMD,2018-12-14,19.58,20.7,19.52,19.9,84713551,20.2003,209953
AMD,2018-12-17,20.01,20.025,18.635,18.83,115437927,19.2561,284594
AMD,2018-12-18,19.15,19.84,18.88,19.5,101512938,19.5282,251941
AMD,2018-12-19,19.44,19.72,18,18.16,120644490,18.8476,303524
AMD,2018-12-20,18.11,18.86,17.34,17.94,119394487,18.0467,344799
AMD,2018-12-21,18.12,18.34,16.76,16.93,132245996,17.3455,285967
AMD,2018-12-24,16.52,17.2199,16.37,16.65,62933126,16.7916,172181
AMD,2018-12-26,16.88,17.91,16.03,17.9,108811809,16.814,242936
AMD,2018-12-27,17.43,17.74,16.44,17.49,111309063,17.0927,244424
AMD,2018-12-28,17.53,18.31,17.135,17.82,109214352,17.8224,230238
AMD,2018-12-31,18.15,18.5101,17.85,18.46,84732181,18.2361,172737
AMD,2019-01-02,18.01,19,17.98,18.83,87148693,18.6028,192393
