,AMD,AMZN,BAC,CMCSA,GM,GOOG,INTC,JBLU,MSFT,PCG,PFE,PYPL,VZ,XOM
0,2015-02-19,2015-01-30,2015-02-25,2015-02-27,2015-02-04,2015-02-09,2015-02-13,2015-02-12,2015-01-26,2015-02-10,2015-02-27,2015-10-29,2015-02-23,2015-02-25
1,2015-04-29,2015-04-24,2015-04-29,2017-02-03,2015-04-23,2015-04-29,2015-04-27,2015-04-30,2015-04-23,2015-04-29,2015-05-07,2016-02-11,2015-04-28,2015-05-06
2,2015-07-30,2015-07-24,2015-07-29,2017-04-27,2015-07-23,2015-07-23,2015-07-27,2015-07-31,2015-07-31,2015-07-29,2015-08-06,2016-04-28,2015-07-28,2015-08-05
3,2015-11-03,2015-10-23,2015-10-30,2017-07-27,2015-10-21,2015-10-29,2015-10-28,2015-10-30,2015-10-22,2015-10-28,2015-11-05,2016-07-26,2015-10-27,2015-11-04
4,2016-02-18,2016-01-29,2016-02-24,2017-10-26,2016-02-03,2016-02-11,2016-02-12,2016-02-17,2016-01-28,2016-02-18,2016-02-29,2016-10-25,2016-02-23,2016-02-24
5,2016-04-28,2016-04-29,2016-05-02,2018-01-31,2016-04-21,2016-05-03,2016-05-02,2016-05-03,2016-04-21,2016-05-04,2016-05-12,2017-02-08,2016-04-28,2016-05-04
6,2016-07-26,2016-07-29,2016-08-01,2018-04-25,2016-07-21,2016-08-04,2016-08-01,2016-07-29,2016-07-28,2016-07-28,2016-08-11,2017-04-27,2016-07-29,2016-08-03
7,2016-10-26,2016-10-28,2016-11-01,2018-07-26,2016-10-25,2016-11-03,2016-10-31,2016-10-28,2016-10-20,2016-11-04,2016-11-10,2017-07-27,2016-10-26,2016-11-03
8,2017-02-21,2017-02-10,2017-02-23,2018-10-25,2017-02-07,2017-02-03,2017-02-17,2017-02-17,2017-01-26,2017-02-16,2017-02-23,2017-10-24,2017-02-21,2017-02-22
9,2017-05-08,2017-04-28,2017-05-02,2019-01-31,2017-04-28,2017-05-02,2017-04-27,2017-04-28,2017-04-27,2017-05-02,2017-05-11,2018-02-07,2017-04-27,2017-05-03
10,2017-08-03,2017-07-28,2017-07-31,2019-04-25,2017-07-25,2017-07-25,2017-07-27,2017-07-28,2017-08-02,2017-07-27,2017-08-10,2018-04-26,2017-08-03,2017-08-02
11,2017-11-02,2017-10-27,2017-10-30,2019-07-25,2017-10-24,2017-10-27,2017-10-26,2017-10-27,2017-10-26,2017-11-02,2017-11-09,2018-07-26,2017-10-26,2017-11-01
12,2018-02-27,2018-02-02,2018-02-22,2019-10-24,2018-02-06,2018-02-06,2018-02-16,2018-02-16,2018-01-31,2018-02-09,2018-02-22,2018-10-23,2018-02-23,2018-02-28
13,2018-05-03,2018-04-27,2018-04-30,2020-01-30,2018-04-26,2018-04-24,2018-04-27,2018-04-27,2018-04-26,2018-05-03,2018-05-10,2019-02-07,2018-05-01,2018-05-03
14,2018-08-02,2018-07-27,2018-07-30,2020-04-30,2018-07-25,2018-07-24,2018-07-27,2018-07-26,2018-08-03,2018-07-26,2018-08-09,2019-04-25,2018-07-31,2018-08-02
15,2018-10-31,2018-10-26,2018-10-29,2020-07-30,2018-10-31,2018-10-26,2018-10-26,2018-10-26,2018-10-24,2018-11-05,2018-11-08,2019-07-25,2018-10-30,2018-11-07
16,2019-02-08,2019-02-01,2019-02-26,2020-10-29,2019-02-06,2019-02-05,2019-02-01,2019-02-21,2019-01-30,2019-02-28,2019-02-28,2019-10-24,2019-02-15,2019-02-27
17,2019-05-01,2019-04-26,2019-04-26,2021-02-04,2019-04-30,2019-04-30,2019-04-26,2019-04-26,2019-04-24,2019-05-02,2019-05-09,2020-02-06,2019-04-26,2019-05-02
18,2019-07-31,2019-07-26,2019-07-29,2021-04-29,2019-08-01,2019-07-26,2019-07-26,2019-07-26,2019-08-01,2019-08-09,2019-08-08,2020-05-07,2019-08-08,2019-08-07
19,2019-10-30,2019-10-25,2019-10-28,2021-07-29,2019-10-29,2019-10-29,2019-10-25,2019-10-28,2019-10-23,2019-11-07,2019-11-07,2020-07-30,2019-10-30,2019-11-06
20,2020-02-04,2020-01-31,2020-02-19,2021-10-28,2020-02-05,2020-02-04,2020-01-24,2020-02-18,2020-01-29,2020-02-18,2020-02-27,2020-11-03,2020-02-21,2020-02-26
21,2020-04-29,2020-05-01,2020-05-01,2022-02-02,2020-05-06,2020-04-29,2020-04-24,2020-05-08,2020-04-29,2020-05-01,2020-05-07,2021-02-05,2020-04-27,2020-05-06
22,2020-07-29,2020-07-31,2020-07-31,2022-04-28,2020-07-29,2020-07-31,2020-07-24,2020-07-31,2020-07-30,2020-07-30,2020-08-06,2021-05-06,2020-07-28,2020-08-05
23,2020-10-28,2020-10-30,2020-10-30,2022-07-28,2020-11-05,2020-10-30,2020-10-23,2020-11-09,2020-10-27,2020-10-29,2020-11-05,2021-07-29,2020-10-27,2020-11-04
24,2021-01-29,2021-02-03,2021-02-24,2022-10-27,2021-02-10,2021-02-03,2021-01-22,2021-03-02,2021-01-26,2021-02-25,2021-02-25,2021-11-09,2021-02-25,2021-02-24
25,2021-04-28,2021-04-30,2021-04-29,2023-02-03,2021-05-05,2021-04-28,2021-04-23,2021-04-30,2021-04-27,2021-04-29,2021-05-13,2022-02-03,2021-04-27,2021-05-05
26,2021-07-28,2021-07-30,2021-07-30,2023-04-27,2021-08-04,2021-07-28,2021-10-22,2021-07-30,2021-07-29,2021-07-29,2021-08-12,2022-04-28,2021-07-28,2021-08-04
27,2021-10-27,2021-10-29,2021-10-29,2023-07-27,2021-10-27,2021-10-27,2022-01-27,2021-11-01,2021-10-26,2021-11-01,2021-11-12,2022-08-03,2021-10-26,2021-11-03
28,2022-02-03,2022-02-04,2022-02-22,,2022-02-02,2022-02-02,2022-04-29,2022-02-22,2022-01-25,2022-02-10,2022-02-24,2022-11-04,2022-02-11,2022-02-23
29,2022-05-04,2022-04-29,2022-04-29,,2022-04-27,2022-04-27,2022-07-29,2022-04-29,2022-04-26,2022-04-28,2022-05-11,2023-02-10,2022-04-27,2022-05-04
30,2022-08-03,2022-07-29,2022-07-29,,2022-07-26,2022-07-27,2022-10-28,2022-08-05,2022-07-28,2022-07-28,2022-08-10,2023-05-09,2022-07-28,2022-08-03
31,2022-11-02,2022-10-28,2022-10-28,,2022-10-25,2022-10-26,2023-01-27,2022-11-02,2022-10-25,2022-10-27,2022-11-09,2023-08-03,2022-10-25,2022-11-02
32,2023-02-27,2023-02-03,2023-02-22,,2023-01-31,2023-02-03,2023-04-28,2023-02-27,2023-01-24,2023-02-23,2023-02-23,,2023-02-10,2023-02-22
33,2023-05-03,2023-04-28,2023-05-01,,2023-04-25,2023-04-26,2023-07-28,2023-04-28,2023-04-25,2023-05-04,2023-05-10,,2023-04-27,2023-05-02
34,2023-08-02,2023-08-04,2023-07-31,,2023-07-25,2023-07-26,,2023-08-01,2023-07-27,2023-07-27,2023-08-09,,2023-07-28,2023-08-01
35,,,,,,,,,2023-07-27,,,,,
