Date,Holiday
2015-01-01,New Years
2015-01-19,MLK
2015-02-16,Presidents
2015-04-03,Good Friday
2015-05-25,Memorial
2015-07-03,Independence
2015-09-07,Labor
2015-10-12,Columbus
2015-11-11,Veterans
2015-11-26,Thanksgiving
2015-12-25,Christmas
2016-01-01,New Years
2016-01-18,MLK
2016-02-15,Presidents
2016-03-25,Good Friday
2016-05-30,Memorial
2016-07-04,Independence
2016-09-05,Labor
2016-10-10,Columbus
2016-11-11,Veterans
2016-11-24,Thanksgiving
2016-12-26,Christmas
2017-01-02,New Years
2017-01-16,MLK
2017-02-20,Presidents
2017-04-14,Good Friday
2017-05-29,Memorial
2017-07-04,Independence
2017-09-04,Labor
2017-10-09,Columbus
2017-11-23,Thanksgiving
2017-12-25,Christmas
2018-01-01,New Years
2018-01-15,MLK
2018-02-19,Presidents
2018-03-30,Good Friday
2018-05-28,Memorial
2018-07-04,Independence
2018-09-03,Labor
2018-10-08,Columbus
2018-11-12,Veterans
2018-11-22,Thanksgiving
2018-12-25,Christmas
2019-01-01,New Years
2019-01-21,MLK
2019-02-18,Presidents
2019-04-19,Good Friday
2019-05-27,Memorial
2019-07-04,Independence
2019-09-02,Labor
2019-10-14,Columbus
2019-11-11,Veterans
2019-11-28,Thanksgiving
2019-12-25,Christmas
2020-01-01,New Years
2020-01-20,MLK
2020-02-17,Presidents
2020-04-10,Good Friday
2020-05-25,Memorial
2020-07-03,Independence
2020-09-07,Labor
2020-10-12,Columbus
2020-11-11,Veterans
2020-11-26,Thanksgiving
2020-12-25,Christmas
2021-01-01,New Years
2021-01-18,MLK
2021-02-15,Presidents
2021-04-02,Good Friday
2021-05-31,Memorial
2021-07-05,Independence
2021-09-21,Labor
2021-10-11,Columbus
2021-11-11,Veterans
2021-11-25,Thanksgiving
2021-12-24,Christmas
2022-01-17,MLK
2022-02-21,Presidents
2022-04-15,Good Friday
2022-05-30,Memorial
2022-06-20,Juneteenth
2022-07-04,Independence
2022-09-05,Labor
2022-10-10,Columbus
2022-11-11,Veterans
2022-11-24,Thanksgiving
2022-12-26,Christmas
2023-01-02,New Years
2023-01-16,MLK
2023-02-20,Presidents
2023-04-07,Good Friday
2023-05-29,Memorial
2023-06-19,Juneteenth
2023-07-04,Independence
2023-11-23,Thanksgiving
2023-12-25,Christmas
