,AMD,AMZN,BAC,GM,GOOG,INTC,MSFT,PFE,PYPL,VZ,XOM
0,2018-02-20,2018-01-26,2018-02-15,2018-01-30,2018-01-30,2018-02-09,2018-01-24,2018-02-15,2018-01-31,2018-02-16,2018-02-21
1,2018-02-21,2018-01-29,2018-02-16,2018-01-31,2018-01-31,2018-02-12,2018-01-25,2018-02-16,2018-02-01,2018-02-19,2018-02-22
2,2018-02-22,2018-01-30,2018-02-19,2018-02-01,2018-02-01,2018-02-13,2018-01-26,2018-02-19,2018-02-02,2018-02-20,2018-02-23
3,2018-02-23,2018-01-31,2018-02-20,2018-02-02,2018-02-02,2018-02-14,2018-01-29,2018-02-20,2018-02-05,2018-02-21,2018-02-26
4,2018-02-26,2018-02-01,2018-02-21,2018-02-05,2018-02-05,2018-02-15,2018-01-30,2018-02-21,2018-02-06,2018-02-22,2018-02-27
5,2018-02-27,2018-02-02,2018-02-22,2018-02-06,2018-02-06,2018-02-16,2018-01-31,2018-02-22,2018-02-07,2018-02-23,2018-02-28
6,2018-02-28,2018-02-05,2018-02-23,2018-02-07,2018-02-07,2018-02-19,2018-02-01,2018-02-23,2018-02-08,2018-02-26,2018-03-01
7,2018-03-01,2018-02-06,2018-02-26,2018-02-08,2018-02-08,2018-02-20,2018-02-02,2018-02-26,2018-02-09,2018-02-27,2018-03-02
8,2018-03-02,2018-02-07,2018-02-27,2018-02-09,2018-02-09,2018-02-21,2018-02-05,2018-02-27,2018-02-12,2018-02-28,2018-03-05
9,2018-03-05,2018-02-08,2018-02-28,2018-02-12,2018-02-12,2018-02-22,2018-02-06,2018-02-28,2018-02-13,2018-03-01,2018-03-06
10,2018-03-06,2018-02-09,2018-03-01,2018-02-13,2018-02-13,2018-02-23,2018-02-07,2018-03-01,2018-02-14,2018-03-02,2018-03-07
11,2018-04-26,2018-04-20,2018-04-23,2018-04-19,2018-04-17,2018-04-20,2018-04-19,2018-05-03,2018-04-19,2018-04-24,2018-04-26
12,2018-04-27,2018-04-23,2018-04-24,2018-04-20,2018-04-18,2018-04-23,2018-04-20,2018-05-04,2018-04-20,2018-04-25,2018-04-27
13,2018-04-30,2018-04-24,2018-04-25,2018-04-23,2018-04-19,2018-04-24,2018-04-23,2018-05-07,2018-04-23,2018-04-26,2018-04-30
14,2018-05-01,2018-04-25,2018-04-26,2018-04-24,2018-04-20,2018-04-25,2018-04-24,2018-05-08,2018-04-24,2018-04-27,2018-05-01
15,2018-05-02,2018-04-26,2018-04-27,2018-04-25,2018-04-23,2018-04-26,2018-04-25,2018-05-09,2018-04-25,2018-04-30,2018-05-02
16,2018-05-03,2018-04-27,2018-04-30,2018-04-26,2018-04-24,2018-04-27,2018-04-26,2018-05-10,2018-04-26,2018-05-01,2018-05-03
17,2018-05-04,2018-04-30,2018-05-01,2018-04-27,2018-04-25,2018-04-30,2018-04-27,2018-05-11,2018-04-27,2018-05-02,2018-05-04
18,2018-05-07,2018-05-01,2018-05-02,2018-04-30,2018-04-26,2018-05-01,2018-04-30,2018-05-14,2018-04-30,2018-05-03,2018-05-07
19,2018-05-08,2018-05-02,2018-05-03,2018-05-01,2018-04-27,2018-05-02,2018-05-01,2018-05-15,2018-05-01,2018-05-04,2018-05-08
20,2018-05-09,2018-05-03,2018-05-04,2018-05-02,2018-04-30,2018-05-03,2018-05-02,2018-05-16,2018-05-02,2018-05-07,2018-05-09
21,2018-05-10,2018-05-04,2018-05-07,2018-05-03,2018-05-01,2018-05-04,2018-05-03,2018-05-17,2018-05-03,2018-05-08,2018-05-10
