,Date
0,2018-01-30
1,2018-01-31
2,2018-02-01
3,2018-03-20
4,2018-03-21
5,2018-03-22
6,2018-05-01
7,2018-05-02
8,2018-05-03
9,2018-06-12
10,2018-06-13
11,2018-06-14
12,2018-07-31
13,2018-08-01
14,2018-08-02
15,2018-09-25
16,2018-09-26
17,2018-09-27
18,2018-11-07
19,2018-11-08
20,2018-11-09
21,2018-12-18
22,2018-12-19
23,2018-12-20
24,2019-01-29
25,2019-01-30
26,2019-01-31
27,2019-03-19
28,2019-03-20
29,2019-03-21
30,2019-04-30
31,2019-05-01
32,2019-05-02
33,2019-06-18
34,2019-06-19
35,2019-06-20
36,2019-07-30
37,2019-07-31
38,2019-08-01
39,2019-09-17
40,2019-09-18
41,2019-09-19
42,2019-10-10
43,2019-10-11
44,2019-10-12
45,2019-10-13
46,2019-10-14
47,2019-10-15
48,2019-10-29
49,2019-10-30
50,2019-10-31
51,2019-12-10
52,2019-12-11
53,2019-12-12
54,2020-01-28
55,2020-01-29
56,2020-01-30
57,2020-03-02
58,2020-03-03
59,2020-03-04
60,2020-03-18
61,2020-03-19
62,2020-03-20
63,2020-03-19
64,2020-03-20
65,2020-03-21
66,2020-03-22
67,2020-03-23
68,2020-03-24
69,2020-03-30
70,2020-03-31
71,2020-04-01
72,2020-04-28
73,2020-04-29
74,2020-04-30
75,2020-06-09
76,2020-06-10
77,2020-06-11
78,2020-07-28
79,2020-07-29
80,2020-07-30
81,2020-08-26
82,2020-08-27
83,2020-08-28
84,2020-09-15
85,2020-09-16
86,2020-09-17
87,2020-11-04
88,2020-11-05
89,2020-11-06
90,2020-12-15
91,2020-12-16
92,2020-12-17
93,2021-01-26
94,2021-01-27
95,2021-01-28
96,2021-03-16
97,2021-03-17
98,2021-03-18
99,2021-04-27
100,2021-04-28
101,2021-04-29
102,2021-06-15
103,2021-06-16
104,2021-06-17
105,2021-07-27
106,2021-07-28
107,2021-07-29
108,2021-09-21
109,2021-09-22
110,2021-09-23
111,2021-11-02
112,2021-11-03
113,2021-11-04
114,2021-12-14
115,2021-12-15
116,2021-12-16
117,2022-01-25
118,2022-01-26
119,2022-01-27
120,2022-03-15
121,2022-03-16
122,2022-03-17
123,2022-05-03
124,2022-05-04
125,2022-05-05
126,2022-06-14
127,2022-06-15
128,2022-06-16
129,2022-07-26
130,2022-07-27
131,2022-07-28
132,2022-09-20
133,2022-09-21
134,2022-09-22
135,2022-11-01
136,2022-11-02
137,2022-11-03
138,2022-12-13
139,2022-12-14
140,2022-12-15
141,2023-01-31
142,2023-02-01
143,2023-02-02
144,2023-03-21
145,2023-03-22
146,2023-03-23
147,2023-05-02
148,2023-05-03
149,2023-05-04
150,2023-06-13
151,2023-06-14
152,2023-06-15
153,2023-07-25
154,2023-07-26
155,2023-07-27
156,2023-09-19
157,2023-09-20
158,2023-09-21
159,2023-10-31
160,2023-11-01
161,2023-11-02
162,2023-12-12
163,2023-12-13
164,2023-12-14
