,AMD,AMZN,BAC,GM,GOOG,INTC,MSFT,PFE,PYPL,VZ,XOM
0,2018-02-27,2018-02-02,2018-02-22,2018-02-06,2018-02-06,2018-02-16,2018-01-31,2018-02-22,2018-02-07,2018-02-23,2018-02-28
1,2018-05-03,2018-04-27,2018-04-30,2018-04-26,2018-04-24,2018-04-27,2018-04-26,2018-05-10,2018-04-26,2018-05-01,2018-05-03
2,2018-08-02,2018-07-27,2018-07-30,2018-07-25,2018-07-24,2018-07-27,2018-08-03,2018-08-09,2018-07-26,2018-07-31,2018-08-02
3,2018-10-31,2018-10-26,2018-10-29,2018-10-31,2018-10-26,2018-10-26,2018-10-24,2018-11-08,2018-10-23,2018-10-30,2018-11-07
4,2019-02-08,2019-02-01,2019-02-26,2019-02-06,2019-02-05,2019-02-01,2019-01-30,2019-02-28,2019-02-07,2019-02-15,2019-02-27
5,2019-05-01,2019-04-26,2019-04-26,2019-04-30,2019-04-30,2019-04-26,2019-04-24,2019-05-09,2019-04-25,2019-04-26,2019-05-02
6,2019-07-31,2019-07-26,2019-07-29,2019-08-01,2019-07-26,2019-07-26,2019-08-01,2019-08-08,2019-07-25,2019-08-08,2019-08-07
7,2019-10-30,2019-10-25,2019-10-28,2019-10-29,2019-10-29,2019-10-25,2019-10-23,2019-11-07,2019-10-24,2019-10-30,2019-11-06
8,2020-02-04,2020-01-31,2020-02-19,2020-02-05,2020-02-04,2020-01-24,2020-01-29,2020-02-27,2020-02-06,2020-02-21,2020-02-26
9,2020-04-29,2020-05-01,2020-05-01,2020-05-06,2020-04-29,2020-04-24,2020-04-29,2020-05-07,2020-05-07,2020-04-27,2020-05-06
10,2020-07-29,2020-07-31,2020-07-31,2020-07-29,2020-07-31,2020-07-24,2020-07-30,2020-08-06,2020-07-30,2020-07-28,2020-08-05
11,2020-10-28,2020-10-30,2020-10-30,2020-11-05,2020-10-30,2020-10-23,2020-10-27,2020-11-05,2020-11-03,2020-10-27,2020-11-04
12,2021-01-29,2021-02-03,2021-02-24,2021-02-10,2021-02-03,2021-01-22,2021-01-26,2021-02-25,2021-02-05,2021-02-25,2021-02-24
13,2021-04-28,2021-04-30,2021-04-29,2021-05-05,2021-04-28,2021-04-23,2021-04-27,2021-05-13,2021-05-06,2021-04-27,2021-05-05
14,2021-07-28,2021-07-30,2021-07-30,2021-08-04,2021-07-28,2021-10-22,2021-07-29,2021-08-12,2021-07-29,2021-07-28,2021-08-04
15,2021-10-27,2021-10-29,2021-10-29,2021-10-27,2021-10-27,2022-01-27,2021-10-26,2021-11-12,2021-11-09,2021-10-26,2021-11-03
16,2022-02-03,2022-02-04,2022-02-22,2022-02-02,2022-02-02,2022-04-29,2022-01-25,2022-02-24,2022-02-03,2022-02-11,2022-02-23
17,2022-05-04,2022-04-29,2022-04-29,2022-04-27,2022-04-27,2022-07-29,2022-04-26,2022-05-11,2022-04-28,2022-04-27,2022-05-04
18,2022-08-03,2022-07-29,2022-07-29,2022-07-26,2022-07-27,2022-10-28,2022-07-28,2022-08-10,2022-08-03,2022-07-28,2022-08-03
19,2022-11-02,2022-10-28,2022-10-28,2022-10-25,2022-10-26,2023-01-27,2022-10-25,2022-11-09,2022-11-04,2022-10-25,2022-11-02
20,2023-02-27,2023-02-03,2023-02-22,2023-01-31,2023-02-03,2023-04-28,2023-01-24,2023-02-23,2023-02-10,2023-02-10,2023-02-22
21,2023-05-03,2023-04-28,2023-05-01,2023-04-25,2023-04-26,2023-07-28,2023-04-25,2023-05-10,2023-05-09,2023-04-27,2023-05-02
22,2023-08-02,2023-08-04,2023-07-31,2023-07-25,2023-07-26,,2023-07-27,2023-08-09,2023-08-03,2023-07-28,2023-08-01
23,2023-11-01,,2023-10-31,2023-10-24,2023-10-25,,2023-10-24,2023-11-08,2023-11-02,2023-10-26,2023-10-31
